Key  (PURPLE means not ready for translation yet),Translation,Version,Comment (context for translators)
<Gamepad>,Kontroller,,Used in input settings when showing bindings for Gamepad (controller)
<Keyboard>,Billentyűzet,,Used in input settings when showing bindings for Keyboard
<Mouse>,Egér,,Used in input settings when showing bindings for Mouse
abort,Abbahagy,,"Text on a button that would abort some ongoing operation. It is different from ""cancel"" since something can be cancelled before it starts, but aborting implies that operation has already begun."
aborting.expedition.died,Az expedíció meghiúsult. A személyzet tagja - {0} - meghalt mielőtt beszállhatott volna az Űrsiklóba.,,{0} will be replaced with a name
aborting.expedition.target.too.far,Az expedíció meghiúsult. {0} túl messze van tőlünk.,,{0} will be replaced with a destination name (i.e. planet name)
about,Névjegy,,"""About"" menu item name"
about.mods,Modulok,,"""Mods"" in this context is game modifications, or expansions. "
about.wallet,Hogyan szerezz pénzt,,
about.wallet.desc,Kriptobányászatba kezdhetsz amit az űrhajó Fedélzeti Számítógépére telepítesz egy kripto bányász modult vagy azzal kompatibilis eszközt. Illetve árukereskedelemből is szerezhetsz pénzt.,2022-03-19,
achievement.AsimovOverride,Renegát Mesterséges Intelligencia,,"AI here is short for Artificial Intelligence. Rogue AI is something like Skynet in Terminator movie, or the AI that enslaved humans in The Elysium movie."
achievement.AsimovOverride.desc,Asimov bypass modul telepítve,,"Asimov is Isaac Asimov, a famous sci-fi writer who created the ""three laws of robotics"""
achievement.Breached,Megszállott,,"This is past tense of verb ""to breach"", meaning: make a gap in and break through (a wall, barrier, or defence)."
achievement.Breached.desc,Kalózok jussanak fel a fedélzetre egy Támadó Kapszulával,,"""boarded"" as in ""the act of passengers and crew getting aboard a ship or aircraft"". Raiders are a pirates, ""Breach Capsule"" is a small pirate space ship that attaches to your ship and breaches through the hull to attack you."
achievement.CatRidingCleaningBot,Örömlovaglás,,"""joy ride"" is an English idiom for ""a fast and dangerous ride in a stolen vehicle."""
achievement.CatRidingCleaningBot.desc,Lovagolja meg egy macskád a Takarító Robotot,,"There are viral videos on youtube showing cats riding roombas (cleaning robots), example: https://www.youtube.com/watch?v=SajTWY9a0e0"
achievement.CloneHuman,Tudom ki vagyok,,
achievement.CloneHuman.desc,Klónozz egy embert,,
achievement.Colonize,A vége,,
achievement.Colonize.desc,Telepítsd le az embereidet egy lakható bolygón,,
achievement.CPUDestroyed,Még visszatérek,,"this is a reference to ""The Terminator"" movie. Scene: https://www.youtube.com/watch?v=tYc2jQaM8gM"
achievement.CPUDestroyed.desc,Veszítsd el a hajó Fedélzeti Számítógépét,,"""lose"" here means getting your ship computer destroyed"
achievement.CrawlerAttach,Ingyen ölelés,,
achievement.CrawlerAttach.desc,Ölelje át egy Mászkáló egy kolonistád,,
achievement.CrawlerUber,Mászkáló Taxi,,
achievement.CrawlerUber.desc,Vegyél fel egy Mászkálót a visszaútra egy bányász expedícióról,,
achievement.Crypto,Kripto tesa,,
