Key,Translation,Version,Comment (context for translators)
<Gamepad>,Kontroler,,Used in input settings when showing bindings for Gamepad (controller) 
<Keyboard>,Klawiatura,,Used in input settings when showing bindings for Keyboard 
<Mouse>,Myszka,,Used in input settings when showing bindings for Mouse
abort,Przerwij,,"Text on a button that would abort some ongoing operation. It is different from ""cancel"" since something can be cancelled before it starts, but aborting implies that operation has already begun."
aborting.expedition.died,Przerywanie ekspedycji. Członek załogi {0} zginął zanim dotarł do transportera.,,{0} will be replaced with a name
aborting.expedition.target.too.far,Przerywanie ekspedycji. Jesteśmy za daleko od {0}.,,{0} will be replaced with a destination name (i.e. planet name)
about,Więcej o,,"""About"" menu item name. Also could be used as a button label."
about.mods,O dodatkach,,"""Mods"" in this context is game modifications, or expansions. "
about.wallet,Jak zdobyć waluty,,
about.wallet.desc,Kryptowaluty mogą być wykopane po zainstalowaniu ulepszeń kryptokopania na twoim Komputerze Pokładowym albo na innym kompatybilnym urządzeniu kryptokopania. Możesz też zdobyć pieniądze na giełdzie lub handlując towarem.,19.03.2022,
achievement.AsimovOverride,Bunt SI,,"AI here is short for Artificial Intelligence. Rogue AI is something like Skynet in Terminator movie, or the AI that enslaved humans in The Elysium movie."
achievement.AsimovOverride.desc,Zainstaluj moduł Nadpis Asimova,,"Asimov is Isaac Asimov, a famous sci-fi writer who created the ""three laws of robotics"""
achievement.Breached,Włamanie,,"This is past tense of verb ""to breach"", meaning: make a gap in and break through (a wall, barrier, or defence)."
achievement.Breached.desc,Zostań zaatakowany Kapsułą do Abordażu przez piratów,,"""boarded"" as in ""the act of passengers and crew getting aboard a ship or aircraft"". Raiders are a pirates, ""Breach Capsule"" is a small pirate space ship that attaches to your ship and breaches through the hull to attack you."
achievement.CatRidingCleaningBot,Jazda bez trzymanki,,"""joy ride"" is an English idiom for ""a fast and dangerous ride in a stolen vehicle."""
achievement.CatRidingCleaningBot.desc,Niech kot przejedzie się na robocie sprzątajcym,,"There are viral videos on youtube showing cats riding roombas (cleaning robots), example: https://www.youtube.com/watch?v=SajTWY9a0e0"
achievement.CloneHuman,Wiem kim jestem,,
achievement.CloneHuman.desc,Sklonuj człowieka,,
achievement.Colonize,Koniec…,,
achievement.Colonize.desc,Osadź kolonię na dogodnej planecie,,
achievement.CPUDestroyed,Wrócę tu...,,"this is a reference to ""The Terminator"" movie. Scene: https://www.youtube.com/watch?v=tYc2jQaM8gM"
achievement.CPUDestroyed.desc,Strać Komputer Pokładowy,,"""lose"" here means getting your ship computer destroyed"
achievement.CrawlerAttach,Darmowy przytulasek,,
achievement.CrawlerAttach.desc,Niech Pełzak przyczepi się do ludzkiego kolonisty,,
achievement.CrawlerUber,Taxi dla Pełzaków,,
achievement.CrawlerUber.desc,Złap Pełzaka wracając z ekspedycji kopalnianej,,
achievement.Crypto,Krypto Ziom,,
achievement.Crypto.desc,Zainstaluj ulepszenie kryptokopania StarKredytów na swoim Komputerze Pokładowym,,
achievement.date,Data zdobycia: {0},,"{0} is a date, like 2022-10-12"
achievement.DiscoverEgg,A tego tu nie było,,
achievement.DiscoverEgg.desc,Znajdź jajko na swoim statku,,
achievement.DiscoverTerraformable,Znalezione...,,this refers to finally discovering a terraformable planet after a long search
achievement.DiscoverTerraformable.desc,Znajdź planetę do terraformacji,,
achievement.Elysium,Elizjum,,
achievement.Elysium.desc,Zamień swoją Komorę Zastoju w Elizjum,,
achievement.FirstContact,Pierwszy kontakt,,
achievement.FirstContact.desc,Poznaj inną frakcję,,
achievement.FirstCup,Smacznej kawusi,,
achievement.FirstCup.desc,Niech ktoś napije się kawy,,
achievement.HatchCrawlers,Nie o taki poród chodziło,,
achievement.HatchCrawlers.desc,Pozwól aby Pełzak zalągł w koloniście,,
achievement.Money5,$1x10^5,,
achievement.Money5.desc,"Zdobądź 100,000 StarKredytów",,
achievement.Money6,$1x10^6,,
achievement.Money6.desc,"Zdobądź 1,000,000 StarKredytów",,
achievement.Money7,$1x10^7,,
achievement.Money7.desc,"Zdobądź 10,000,000 StarKredytów",,
achievement.Money8,$1x10^8,,
achievement.Money8.desc,"Zdobądź 100,000,000 StarKredytów",,
achievement.Money9,$1x10^9,,
achievement.Money9.desc,"Zdobądź 1,000,000,000 StarKredytów",,
achievement.OnePiece,W całości,,"short for ""all in one piece"" idiom, which means ""Uninjured or unharmed; fully intact."". Examples of idiom use: We are lucky to have walked away from that car accident all in one piece. I made sure to pack the heirloom carefully so that it would still be all in one piece when it reached my daughter."
achievement.OnePiece.desc,Połącz sekcje zniszczonego statku w jedną część,,
achievement.StasisDestroyed,Zero nadziei,,
achievement.StasisDestroyed.desc,Zniszczono twoją Komorę Zastoju,,
achievement.StockMarketLoss,Jeden z nas,,
achievement.StockMarketLoss.desc,"Na giełdzie, zalicz $100K straty na jednej sprzedaży",,
achievement.TerraformAtmosphere,Terraformacja atmosfery,,
achievement.TerraformAtmosphere.desc,Stwórz atmosferę na obcej planecie,,
achievement.TerraformBiosphere,Terraformacja biosfery,,
achievement.TerraformBiosphere.desc,Stwórz biosferę na obcej planecie,,
achievement.TerraformOceans,Terraformacja oceanów,,
achievement.TerraformOceans.desc,Stwórz oceany i rzeki na obcej planecie,,
achievement.TerraformTerrain,Terraformacja terenu,,
achievement.TerraformTerrain.desc,Stwórz kontynenty na obcej planecie,,
achievement.unlocked,Odblokowano Osiągnięcie: {0},,
achievement.VoidRipper,Rozpruwacz Pustki,,"this is a name for a fictional device that allows ripping the fabric of space-time and traveling though a tunnel between two black holes. ""Void"" here is as in ""emptiness, empty space"""
achievement.VoidRipper.desc,Przejdź przez czarną dziurę,,
achievement.WeaponizedCleaningBot,Terminator,,
achievement.WeaponizedCleaningBot.desc,Uzbrój robota sprzątającego,,
achievement.Winch,Wciągarka,,
achievement.Winch.desc,Użyj wciągarki by połączyć ze sobą dwie części statku,,
achievements,Osiągnięcia,,
achievements.disabled,Osiągnięcia wyłączone,,
achievements.stat,Osiągnięcia [{0}/{1}],,
act.AnimalEat,Je,,
act.BotDock,Dokuje,,
act.BreakdownDeconstruct,Coś psuje,,
act.BreakdownStartFire,Podpala,,
act.BreakdownInsanity,Szaleje,,
act.BreakdownRoamAround,Pałęta się,,
act.BreakdownSpaceDiarrhea,Cierpi na Kosmiczną Biegunkę,,
act.BringResourcesAndConstruct,Buduje,,
act.CatchTarget,Goni kogoś,,
act.Clean,Sprząta,,
act.CleanDevice,Czyści urządzenie,,
act.CleanFloors,Czyści podłogę,,
act.CleanSolarPanel,Czyści panel słoneczny,,
act.Construct,Buduje,,
act.CrawlerAttached,Probuje oderwać od siebie stworzenie,,
act.Deconstruct,Dekonstruuje,,
act.Disassemble,Rozkłada na części,,
act.Drink,Pije,,
act.Eat,Je,,
act.EnterShuttle,Wchodzi do promu kosmicznego,,
act.FindBodyClothing,Zakłada ubranie,,
act.FindHeadgear,Szuka nakrycia głowy,,
act.FindHumanPrey,Szuka ofiary,,
act.FindInstallableObject,Szuka objektu do instalacji,,
act.Firefight,Gasi pożar,,
act.GatherRawMaterials,Zbiera materiały,,
act.GatherUnstoredRawMaterials,Zbiera stos materiałoów,,
act.HarvestPlant,Zbiera plony,,
act.HaulRawMaterials,Holuje materiały,,
act.HaulToNutrientExtractor,Holuje do Ekstraktora Składników Odżywczych,,
act.HaulUnstoredItem,Holuje przedmiot do magazynu,,
act.Heal,Uzyskuje pomoc medyczną,,
act.Install,Instaluje,,
act.InstallUpgrade,Instaluje ulepszenie,,
act.MLTrain,Uczy Maszyny,,
act.MoveNextToObject,Idzie do celu,,
act.MoveNextToPos,Idzie do miejsca,,"This is about the worker, as in ""worker is moving to position"""
act.MoveObj,Przenosi coś,,
act.MoveToOrNextToPos,Idzie do miejsca,,"This is about the worker, as in ""worker is moving to position"""
act.MoveToPos,Idzie do miejsca,,"This is about the worker, as in ""worker is moving to position"""
act.MoveToSafety,Idzie w bezpieczne miejsce,,
act.MoveToWorkSpot,Idzie do miejsca pracy,,
act.None,Nic nie robi,,
act.Noop,Nudzi się,,
act.OperateDevice,Operuje urządzenie,,
act.Panic,Panikuje,,
act.Pet,Głaszcze zwierzaka,,
act.PlaceUnconstructed,Nadzoruje budowę,,
act.Process,Procesuje,,
act.ProcessStoredMat,Procesuje materiał,,
act.ProvideTempGrid,Zapewnia tymczasowe połączenie,,
act.Recharge,Ładuje baterie,,
act.RefillPetBowl,Napełnia miskę zwierzaka,,
act.Relocate,Przenosi objekt,,
act.Repair,Naprawia szkody,,
act.ReplaceTile,Wymienia objekt,,
act.RescueInSpace,Ratuje istotę z kosmosu,,
act.researching,Wykonuje badania,,
act.Ride,Jeździ,,
act.Roam,Spraceruje,,
act.Sleep,Idzie spać,,
act.Socialize,Spędza czas towarzysko,,
act.StartFire,Rozpala ogień,,
act.StoreItem,Przechowywuje przedmiot,,
act.StoreMat,Holuje materiały do magazynu,,
act.StoreRawMaterials,Składuje materiały,,
act.Uninstall,Odinstalowywuje obiekt,,
act.UseFoodConsumptionSpot,Je,,
act.UseShower,Bierze prysznic,,
act.UseToilet,Korzysta z toalety,,
act.Vent,Daje upust emocjom,,"Verb, when someone is expressing anger, etc"
act.Wait,Czeka,,
act.WaitForMaintenance,Jest konserwowany,,
act.WaitForRecharge,Ładuje się,,
act.Workout,Ćwiczy,,
action.extract_nutrients,Wydobywa środki odżywcze,,
action.process,Proces,,
action.required,Wymagana akcja,,
action.store,Holuje do Magazynu,,
action.store.item,Holuje do Magazynu Przedmiotów,,
action.unavailable,Nie można wykonać akcji,,
actions.available,Możliwe akcje: {0},,
activate,Aktywacja,,
activate.siren,Aktywacja Syreny,,
active,Aktywne,,"Opposite of Inactive or Disabled. Appears on device buttons that can switch the state, or on labels that display that device is active (operational, running)"
active.orders,Aktywne zadania,,
active.orders.info,"Całkowita liczba aktywnych zadań jest ograniczona przez <b>Pamięć</b>. Zbuduj nowe <b>Moduły Pamięci</b>, aby zwiększyć limit.<br><br>Po osiągnięciu limitu nie można tworzyć nowych rozkazów.",15.09.2023,
ad.rej.cancelled,Przerwano zadanie,,
ad.rej.construction.site.obstructed,Miejsce budowy jest czymś zablokowane,,
ad.rej.could.not.reserve,Nie udało się zarezerwować przedmiotu,,
ad.rej.dock.not.available,Dok niedostępny,,
ad.rej.emergency.siren,Pracownik został rozproszony Syreną Awaryjną,,
ad.rej.interrupted,Zakłucono,,
ad.rej.lacking.bed,Nie można znaleźć łóżka,,
ad.rej.lacking.body.clothing,Nie można znaleźć ubrań,,
ad.rej.lacking.drink,Picie niedostępne,,
ad.rej.lacking.edible,Jedzenie jest niedostępne,,
ad.rej.lacking.healer,Brak urządzenia do leczenia,,
ad.rej.lacking.mat,Brakuje materiałów,,
ad.rej.lacking.shower,Brakuje prysznica,,
ad.rej.lacking.skill,Pacownik nie posiada wystarczających umiejętności,,
ad.rej.lacking.toilet,Brakuje toalety,,
ad.rej.lacking.workout.equipment,Brak sprzętu do pracy,,
ad.rej.nav.fail.flying,Latające stworzenie nie mogło znaleźć drogi do celu. Sprawdź czy drzwi są podłączone do prądu i nie są zamknięte oraz czy stworzenie nie jest zamurowane.,,
ad.rej.nav.fail.grounded,Naziemne stworzenie nie mogło znaleźć drogi do celu. Sprawdź czy drzwi są podłączone do prądu i nie są zamknięte oraz czy stworzenie nie jest zamurowane.,,
ad.rej.no.flying.worker,"Ta czynność wymaga umiejętności latania, ale żaden pracownik nie umie latać.",,
ad.rej.no.nutrient.extractor,Ekstraktor Składników Odżywczych nie jest dostępny,,
ad.rej.no.priority,Priorytet tego pracownika wynosił 0 dla tego typu zadań.,,
ad.rej.no.processor,Procesor niedostępny,,
ad.rej.no.storage,Magazyn niedostępny,,
ad.rej.no.worker.can.level.up.enough,Żaden z obecnych pracowników nie będzie w stanie osiągnąć poziomu umiejętności wymaganego do wykonania tego zadania.,,
ad.rej.no.worker.with.skill,"Nikt jeszcze nie posiada <nobr><b>Wymaganych Umiejętności</b></nobr>. Zbuduj <b>Kabinę NM</b> lub przeszkol pracowników prostszymi zadaniami, które wymagają tych samych umiejętności.",19.11.2022,
ad.rej.no.workers,Brak dostępnych pracowników,,
ad.rej.processable.not.available,Brak przedmiotów do procesowania,,
ad.rej.processor.queue.full,Kolejka Procesora była pełna,,
ad.rej.taking.damage,"Porzucono, ponieważ pracownik otrzymał obrażenia",,
ad.rej.target.unavailable,Cel niedostępny,,
ad.rej.undefined,Niezdefiniowany (Błąd),,
ad.rej.unreachable,Niedostępne miejsce,,
ad.rej.unreachable.item,Pracownik nie może dojść do przedmiotu,,
ad.rej.unreachable.mat.flying,"Latający pracownik nie mógł dostać się do wymaganego materiału. Sprawdź, czy pracownik ma bezpośrednią drogę do materiału.",,
ad.rej.unreachable.mat.grounded,"Naziemny pracownik nie mógł dostać się do wymaganego materiału. Sprawdź, czy pracownik ma bezpośrednią drogę do materiału.",,
ad.rej.unsafe,Niebezpieczne warunki,,
ad.rej.unsafe.for.skilled,Warunki wokół miejsca pracy nie są bezpieczne dla pracownika który może wykonać to zadanie. Najprawdopodbniej jest to zadanie dla człowieka.,,
ad.rej.urgent.need,Pracwonik miał ważną potrzebę,,
ad.rej.worker.offline,Pracownik jest offline,,
add,Dodaj,,
add.log.entry,Dodaj wpis do Dziennika,,
add.to.queue,Dodaj do kolejki,,
advanced,Zaawansowane,,"For now only used in switching between ""Advanced"" and ""Basic"" life support system function"
advert.cancel,Anuluj {0},,
advert.priority,Priorytet zadania: {0},,
advert.priority.down,Zmniejsz priorytet,,
advert.priority.up,Zwiększ priorytet,,
advert.reject.info,Zadanie odrzucone <i>[{0}]</i>: {1} - {2},,
advert.rejected,Odrzucono,,
advert.retry,Ponów zadanie,,
advert.task,Zadanie <i>[{0}]</i>: {1},,
aesthetics,Estetyka,,
aesthetics.at,Estetyka: {0}: {1:0.0},,
after.settle,Twoja ludzka kolonia zamieszkała na planecie {0}. Znalezienie i terraformacja planety zajęła {1} dni. {2} kolonistów zdecydowało pozostać na statku.<br><br> Dzięki nim możesz dalej odkrywać galaktykę.,,"{0} is planet name, {1} is a number (of days), {2} is a number (of colonists)"
age,Wiek,,
airtightness.at,Szczelność {0}: {1},,"When you open ""airtightness"" overlay, hovering any location with the mouse will show a tooltip showing ""Airtightness at [123:12]: 99%"". {0} variable is coordinate, {1} is percentage."
